id,name_pl,lon,lat
482,Śródmieście,14.57821,53.41312
495,Janów,19.56789,52.22281
512,Kochłowice,18.91020,50.25778
514,Gocław,21.08000,52.23000
525,Bugaj,19.30526,50.39408
537,Tarninów,16.15597,51.19884
546,Śródmieście,21.15759,51.40082
549,Żelechowa,14.57885,53.46028
552,Centrum,18.79481,52.87905
569,Zatorze,18.70787,50.30512
587,Zagórze,19.19890,50.29957
588,Nowe Ujeścisko,18.59110,54.32623
589,Groszowice,17.94887,50.62798
590,Nagórki,20.49327,53.75620
594,Salomea,20.92528,52.18694
596,Jelitkowo,18.58604,54.42281
598,Redłowo,18.54911,54.49192
599,Ustronie,21.15943,51.38267
621,Śródmieście,22.55396,51.25034
626,Żubardź,19.42564,51.78570
628,Baranówka,21.97292,50.05745
629,Dąbrowa,19.35759,51.59577
633,Raków,19.15843,50.77786
642,Bacieczki,23.08815,53.14407
650,Centrum,18.79481,52.87905
656,Mikulczyce,18.75521,50.33507
668,Pieczewo,20.51420,53.74357
689,Kazimierz,19.94348,50.04998
700,Pogoń,19.12424,50.29465
703,Stare Miasto,18.65183,54.35586
707,Karłowice,17.06012,51.13846
712,Teofilów,19.36800,51.45798
714,Koziny,19.42679,51.77769
715,Centrum,20.93623,52.39925
718,Chojny,18.52772,51.34605
721,Centrum,19.94956,49.29910
724,Powiśle,21.02935,52.23805
726,Grochów,21.08464,52.24671
727,Sadyba,21.06110,52.18748
728,Kabaty,21.08000,52.13000
729,Szwederowo,17.98932,53.11239
730,Nowodwory,20.94234,52.33292
731,Wyględów,20.99274,52.20003
732,Kamionek,21.05382,52.24511
741,Maślice,16.94222,51.14306
742,Jelonki,20.95755,52.08086
743,Natolin,21.07361,52.13889
744,Koło,20.94694,52.24417
746,Retkinia,19.40120,51.74589
747,Olechów,19.57277,51.74430
748,Karolew,19.24058,51.86663
757,Centrum,16.47568,50.84984
785,Giszowiec,19.06971,50.22263
787,Pustki Cisowskie,18.44722,54.53639
789,Warszewo,14.53756,53.47407
792,Centrum,22.56845,51.24645
793,Bonin,16.90697,52.43092
799,Struga,21.05999,52.28194
801,Zarzew,19.51724,51.74647
803,Chomiczówka,20.91240,52.27443
808,Gaj,17.04203,51.07916
816,Brodwino,18.53226,54.45683
817,Stogi,18.77065,54.36226
818,Doły,19.49193,51.78678
826,Baranowice,18.70573,50.03713
832,Nowe Miasto,16.29277,50.77091
840,Centrum,19.10408,50.28626
843,Rokitnica,18.78633,50.36249
844,Ugorek,19.98230,50.07620
847,Saska Kępa,21.06051,52.23059
854,Bronowice,22.58504,51.23579
859,Gąsin,20.78888,52.16977
863,Bykowina,18.88715,50.27665
870,Stare Miasto,14.55967,53.42434
874,Biały Kamień,16.25497,50.78616
877,Umultowo,16.93500,52.46767
884,Lipniak,22.45066,51.24302
887,Felin,22.63522,51.22410
890,Strusina,20.97000,50.01528
892,Michalin,21.22465,52.14799
894,Miłosna,21.26901,52.25242
914,Abramowice,22.57424,51.19333
919,Morena,18.58359,54.35968
920,Boguszowice,18.60147,50.06322
924,Sielec,19.15586,50.27915
926,Stary Sosnowiec,19.10928,50.28499
930,Środula,19.15461,50.29374
952,Śródmieście,18.90616,50.35454
955,Dawidy Zwykłe,20.98556,52.13083
959,Leszczynki,18.48455,54.52794
961,Muranów,20.99860,52.24928
963,Młynów,20.96568,52.24457
969,Piaski,19.08902,50.30022
970,Piotrowice,18.96141,50.20225
971,Bezrzecze,14.45755,53.45734
972,Michałkowice,19.02957,50.32643
975,Kamienna Góra,18.54624,54.51214
978,Planty,21.14764,51.39404
980,Wrzosy,18.58000,53.05000
984,Bielawy,18.05309,53.13187
990,Michałów,21.15722,51.43015
992,Ludwinów,19.92927,50.04270
995,Reden,19.20345,50.32048
998,Klimontów,19.17698,50.28047
1005,Warpie,19.14638,50.31807
1006,Małobądz,19.11996,50.30722
1010,Nowe Szkoty,18.62111,54.37944
1013,Chełm,19.84917,50.06750
1019,Dziesięciny,23.13427,53.15358
1021,Lipowica,22.74094,49.80883
1023,Syberka,19.11568,50.32065
1042,Zacisze,17.07600,51.12416
1046,Zaodrze,17.90019,50.67360
1047,Olsza,19.96044,50.07960
1057,Zatorze,20.48805,53.78867
1059,Działki Leśne,18.53256,54.50886
1061,Halemba,18.84990,50.24657
1063,Drzetowo,14.56988,53.44988
1065,Bielszowice,18.82285,50.26873
1066,Centrum,17.38985,51.21343
1074,Strzemieszyce Wielkie,19.24891,50.31167
1076,Bukowe,14.65348,53.36732
1078,Gołonóg,19.23344,50.33340
1084,Kosztowy,19.16369,50.18792
1090,Podlesie,18.96458,50.18399
1101,Śródmieście,18.53867,50.10186
1106,Piaski,23.15125,53.12340
1112,Byczyna,19.30957,50.16366
1115,Józefów,19.17738,50.30983
1116,Bogucice,19.03961,50.26885
1118,Klukowo,18.48000,54.40000
1121,Centrum,20.63509,52.10444
1132,Centrum,18.00844,53.12348
1135,Zabornia,18.59122,54.34473
1141,Śródmieście,17.93721,50.66695
1144,Babie Doły,18.54033,54.57813
1152,Centrum,18.53553,54.51880
1160,Pawłówka,19.66280,51.44002
1179,Jagodno,17.06005,51.05494
1180,Czuby,22.51856,51.23032
1181,Zabobrze,15.74694,50.91611
1185,Centrum,19.02378,50.26489
1186,Ligota,18.59110,50.09217
1187,Wielopole,18.54183,50.12432
1189,Kozanów,16.97114,51.13918
1190,Wojszyce,17.04227,51.06096
1191,Okęcie,20.96694,52.16556
1192,Kłodawa,15.21486,52.78719
1193,Pogórze,18.48863,54.55887
