id,name_pl,lon,lat
59743,Pokrzywno,17.75167,53.83321
59817,Rudołtowice,19.00724,49.95798
60061,Ruda Godowska,22.07168,51.13988
60482,Kamień,17.63997,52.03958
60652,Gózd,21.74727,51.97213
61033,Głudna,20.72601,51.80999
61533,Zaborowo,20.26769,52.53508
62061,Hostynne,23.70737,50.74573
62320,Mieczniki,22.01277,54.23757
62430,Konopki-Jałbrzyków Stok,22.25856,53.03495
62631,Rogawica,17.16461,54.51633
62718,Wola Duża,22.79190,50.57375
62875,Korytyba,18.68778,53.96583
62912,Olszewka,17.69243,53.43466
63160,Bartków,22.56634,52.33306
63216,Szczytno,19.87724,52.55722
63431,Jaczowice,17.58076,50.61462
63658,Goszcz,17.48214,51.39623
63907,Waplewo,20.75646,53.59277
64184,Kozły,17.86523,51.48005
64513,Dębnica,16.93256,51.38618
65074,Popielarze,17.88333,52.45000
65121,Brogowa,20.64810,51.42047
65403,Szopa,17.97570,54.36080
65541,Stary Białynin,20.25254,52.18366
65661,Solistówka,22.76001,53.75645
66071,Napraty,20.70155,54.15242
66211,Tolkmity,20.31215,53.65495
66900,Różynka,20.32668,53.90613
67446,Krasne-Elżbiecin,20.99573,52.89766
67576,Moniochy,21.30989,51.64170
67871,Ogardy,15.58095,52.96761
67970,Skrajnia,18.02371,51.87794
72797,Kierkut,20.58602,51.48325
72822,Gościszka-Baraki,19.96492,53.12704
73092,Ćwikielnia,20.40167,53.64139
74118,Tomaszew,18.98856,51.74835
279,Powidz,17.92118,52.41360
776,Nasielsk,20.81004,52.58396
835,Naruszewo,20.35724,52.52585
1045,Wolbórz,19.83468,51.49913
1361,Gaszowice,17.58448,51.25842
1785,Cieszyn,18.66228,49.71830
2108,Kołbaskowo,14.43938,53.33699
2433,Ozimek,18.22295,50.67997
2968,Nowogród,21.88151,53.22678
4318,Porąbka Uszewska,20.69069,49.94240
5596,Musuły,20.65632,52.04343
5701,Dziwiszów,15.79688,50.94095
6650,Łosino,17.00833,54.41305
6800,Sianowo,18.08990,54.38793
7810,Dąbki,16.31664,54.37873
7897,Płazowo,17.94493,53.53314
7973,Nowy Jasiniec,18.03399,53.34875
8162,Kotliszowice,18.55758,50.46854
9686,Hulskie,22.53227,49.23807
10216,Chocieszów,16.48338,50.45544
12518,Ochodze,17.81228,50.61008
12633,Grabówka,22.13884,49.65682
13289,Rychówko,15.87794,53.93206
14211,Biskupice,20.12468,49.96061
14300,Królewska Wola,17.56212,51.39239
16022,Włóki,18.20757,53.24597
16441,Kręsk,20.36531,53.69875
17189,Ługi Ujskie,16.70073,53.07815
18331,Ruszelczyce,22.51896,49.81118
20153,Więckowice,20.81357,49.94657
20155,Piekary,19.16178,51.18219
20348,Brunów,16.06963,51.39750
20572,Borowiny,20.10417,52.02233
20695,Modlimowo,15.09369,53.97529
21104,Mokry Dwór,17.12099,51.07205
21238,Orle,18.98645,53.48531
21652,Gościeszowice,15.66179,51.61069
21894,Wtórek,17.89023,51.63815
22482,Nowe Kęszyce,20.13871,52.14285
23785,Kościuszki,15.03598,53.65371
23815,Domatówko,18.21154,54.68710
23962,Praslity,20.34679,54.01997
